score,perplexity,parse_ok,repetition,ascii_ratio,code_complexity,tokens,len,lang,path,chunk_id,n_chunks,repo,near_dup,near_dup_simhash,near_dup_minhash,minhash_jaccard,minhash_dup_of,gopher_quality,gopher_flags,hamdist
57.09,7.312,0.0,0.2012,1.0,0.3642,1494,6009,Bash,speedrun.sh,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",2
75.97,4.261,1.0,0.0269,1.0,0.4297,500,2171,Python,tasks/arc.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
78.53,4.123,1.0,0.1513,1.0,0.4346,1294,5535,Python,tasks/common.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
77.01,3.125,1.0,0.1205,1.0,0.4216,607,2920,Python,tasks/customjson.py,1,1,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
77.84,4.984,1.0,0.1023,1.0,0.4328,1097,4872,Python,tasks/gsm8k.py,1,1,karpathy/nanochat,False,False,False,0.1953,da2841dc55964ee7f4a0bb619ce12e3d75d9224aeec31bae9eb4b9e5a4d5a786,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
77.2,4.217,1.0,0.0438,1.0,0.4699,726,3419,Python,tasks/humaneval.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
78.71,3.316,1.0,0.0493,1.0,0.405,943,3934,Python,tasks/mmlu.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
72.37,4.757,1.0,0.0932,1.0,0.4208,448,2077,Python,tasks/smoltalk.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
71.22,4.334,0.0,0.1268,0.9915,0.4421,2415,9621,Python,tasks/spellingbee.py,1,2,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",4
54.31,3.648,0.0,0.1002,1.0,0.5044,645,2660,Python,tasks/spellingbee.py,2,2,karpathy/nanochat,False,False,False,0.2578,e78f6ac993e98f8050c9d92cc73bac3c511cfb67fcf61b2fafe9cebaaefdbf79,0.6667,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': False, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
74.78,2.689,1.0,0.1833,1.0,0.4257,675,2760,Python,tests/test_engine.py,1,1,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",8
64.31,4.038,0.0,0.1171,1.0,0.4644,1820,7378,Python,tests/test_rustbpe.py,1,3,karpathy/nanochat,False,False,False,0.0,,1.0,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': True, 'bullet_ratio': True, 'ellipsis_ratio': True}",6
69.14,3.688,0.0,0.1741,1.0,0.4868,2385,11186,Python,tests/test_rustbpe.py,2,3,karpathy/nanochat,False,False,False,0.2578,da2841dc55964ee7f4a0bb619ce12e3d75d9224aeec31bae9eb4b9e5a4d5a786,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",3
81.93,2.455,1.0,0.2366,0.9982,0.4192,1973,7865,Python,tests/test_rustbpe.py,3,3,karpathy/nanochat,False,False,False,0.0,,0.8333,"{'min_words': True, 'mean_word_len': True, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
31.07,,0.0,0.4455,1.0,0.243,195525,422540,Lock,uv.lock,1,1,karpathy/nanochat,False,False,False,0.0,,0.6667,"{'min_words': True, 'mean_word_len': False, 'symbol_ratio': True, 'stopword_ratio': False, 'bullet_ratio': True, 'ellipsis_ratio': True}",5
